"Level";"Damage";"FireRate";"MaxBullet";"Ratico";"Crit";"CountDown";"GoldUpgrade";
1;59;1.0;10;10;150;1.0;1000;
2;70;1.0;10;10;150;1.0;1000;
3;83;1.0;10;10;150;1.0;1000;
4;98;1.0;10;10;150;1.0;1000;
5;116;1.0;10;10;150;1.0;1000;
6;133;1.0;10;10;150;1.0;1000;
7;153;1.0;10;10;150;1.0;1000;
8;176;1.0;10;10;150;1.0;1000;
9;202;1.0;10;10;150;1.0;1000;
10;232;1.0;10;10;150;1.0;1000;
11;267;1.0;10;10;150;1.0;1000;
12;307;1.0;10;10;150;1.0;1000;
13;353;1.0;10;10;150;1.0;1000;
14;406;1.0;10;10;150;1.0;1000;
15;467;1.0;10;10;150;1.0;1000;
16;537;1.0;10;10;150;1.0;1000;
17;618;1.0;10;10;150;1.0;1000;
18;711;1.0;10;10;150;1.0;1000;
19;818;1.0;10;10;150;1.0;1000;
20;941;1.0;10;10;150;1.0;1000;
21;1082;1.0;10;10;150;1.0;1000;
22;1244;1.0;10;10;150;1.0;1000;
23;1431;1.0;10;10;150;1.0;1000;
24;1646;1.0;10;10;150;1.0;1000;
25;1893;1.0;10;10;150;1.0;1000;
